nan nan
0.936974	41.00009
nan nan
8.209523	41.00009
nan nan
8.262913	41.00009
nan nan
8.264673	41.00009
nan nan
8.26614	41.00009
nan nan
0.936974	41.00009
0.937561	41.000383
0.938441	41.000383
0.939027	41.001263
0.939907	41.001263
0.946361	41.007424
0.946361	41.008304
0.955749	41.017984
0.956629	41.017984
0.958976	41.020331
0.959856	41.020331
0.963376	41.023851
0.964256	41.023851
0.965723	41.025318
0.966603	41.025318
0.968363	41.027078
0.969243	41.027078
0.970123	41.027958
0.97071	41.027958
0.97247	41.029719
0.97335	41.029719
0.97423	41.030305
0.97511	41.030305
0.976577	41.032065
0.977457	41.032065
0.980097	41.034412
0.980684	41.034706
0.981564	41.035292
0.982444	41.035292
0.984204	41.037052
0.985084	41.037052
0.985671	41.037932
0.986551	41.037932
0.987431	41.038813
0.988311	41.038813
0.989191	41.039693
0.990071	41.039693
0.990951	41.040279
0.992418	41.040279
0.993298	41.041159
0.994178	41.041159
0.995058	41.042039
0.996525	41.042039
0.997405	41.04292
1.000045	41.04292
1.000045	41.04292
nan nan
1.000045	41.04292
1.002392	41.04292
1.003272	41.0438
1.006792	41.0438
1.007379	41.04468
1.008259	41.044386
1.009139	41.045266
1.010019	41.04556
1.010899	41.046146
1.011779	41.046146
1.012366	41.047026
1.013246	41.047026
1.014126	41.047907
1.015886	41.047907
1.016766	41.048787
1.017646	41.048787
1.018233	41.049667
1.019993	41.049667
1.020873	41.050547
1.02234	41.050253
1.02322	41.051133
1.0241	41.051133
1.02498	41.052013
1.02586	41.052013
1.02674	41.052894
1.028207	41.052894
1.029087	41.053774
1.029967	41.053774
1.030847	41.054654
1.031727	41.054654
1.033194	41.05612
1.034074	41.05612
1.034954	41.057001
1.035834	41.057001
1.036714	41.057881
1.037594	41.057881
1.038181	41.058761
1.039061	41.058761
1.039941	41.059641
1.040821	41.059641
1.041701	41.060227
1.043462	41.060521
1.044048	41.061107
1.045808	41.061107
1.046688	41.061988
1.049915	41.061988
1.050795	41.062868
1.054022	41.062868
1.054902	41.063748
1.058423	41.063748
1.059303	41.064628
1.06165	41.064628
1.06253	41.065508
1.069863	41.065508
1.070744	41.064628
1.073384	41.064628
1.074264	41.063748
1.085118	41.063748
1.085998	41.064628
1.089225	41.064628
1.090105	41.065508
1.092452	41.065508
1.093332	41.066095
1.095092	41.066388
1.095972	41.066975
1.096559	41.066975
1.097439	41.067855
1.099199	41.067855
1.100079	41.068735
1.102426	41.068735
1.103306	41.069615
1.104186	41.069615
1.105066	41.070495
1.107413	41.070495
1.108293	41.071082
1.1124	41.071082
1.11328	41.071962
1.116507	41.071962
1.117387	41.072842
1.120907	41.072842
1.121494	41.073722
1.127361	41.073722
1.128241	41.074602
1.136748	41.074602
1.137628	41.073722
1.138215	41.073722
1.139095	41.072842
1.140855	41.072842
1.141735	41.071962
1.142615	41.071962
1.143202	41.071375
1.144082	41.071082
1.147896	41.067561
1.147896	41.066681
1.149069	41.065508
1.154936	41.065508
1.157576	41.062868
1.158163	41.062868
1.16051	41.060814
1.16051	41.059934
1.16139	41.059054
1.16139	41.057587
1.16315	41.055534
1.172538	41.055534
1.173418	41.05612
1.174004	41.05612
1.175471	41.057587
1.175471	41.059054
1.178405	41.061988
1.178991	41.061988
1.181338	41.064041
1.181338	41.067561
1.179578	41.069028
1.179578	41.069908
1.180458	41.070788
1.180458	41.072548
1.181338	41.073428
1.181338	41.074308
1.182218	41.074895
1.181925	41.075775
1.182805	41.076655
1.182805	41.077535
1.184565	41.079002
1.184565	41.079882
1.189259	41.084576
1.189845	41.084576
1.190432	41.084869
1.190432	41.085749
1.190725	41.086336
1.191606	41.086336
1.199233	41.09367
1.200113	41.09367
1.20158	41.09543
1.20246	41.09543
1.20422	41.09719
1.2051	41.09719
1.206567	41.098657
1.207447	41.098657
1.208327	41.099537
1.209207	41.099537
1.210674	41.101297
1.211554	41.101297
1.212434	41.102177
1.213314	41.102177
1.214194	41.103057
1.215074	41.102764
1.215954	41.103644
1.217421	41.103644
1.218301	41.104524
1.220941	41.104524
1.221821	41.105404
1.224168	41.105404
1.225048	41.106284
1.228275	41.106284
1.229155	41.107164
1.235022	41.107164
1.236195	41.105697
1.236195	41.104231
1.236782	41.103644
1.237369	41.103644
1.238836	41.105111
1.237956	41.105697
1.238249	41.106284
1.240889	41.106284
1.241769	41.105404
1.242356	41.105404
1.242943	41.105697
1.242943	41.106577
1.241182	41.108338
1.242356	41.109511
1.246756	41.109511
1.247343	41.108631
1.248223	41.108631
1.24881	41.108338
1.247636	41.107164
1.245876	41.107164
1.245289	41.106577
1.245289	41.105697
1.246169	41.105111
1.245876	41.104524
1.244996	41.104524
1.243236	41.103057
1.242356	41.103057
1.241476	41.101884
1.240009	41.102177
1.239129	41.101297
1.236782	41.101297
1.235315	41.100124
1.235315	41.099244
1.235902	41.098657
1.237662	41.098657
1.238249	41.099537
1.239129	41.099537
1.240009	41.100417
1.241769	41.100417
1.242356	41.101297
1.244116	41.101297
1.244996	41.102177
1.245876	41.102177
1.248223	41.104524
1.249103	41.104524
1.25233	41.107751
1.25321	41.107751
1.25497	41.109511
1.25585	41.109511
1.258197	41.112151
1.259077	41.112151
1.259957	41.113031
1.261717	41.113031
1.262597	41.113618
1.264064	41.113618
1.264944	41.112738
1.269931	41.112738
1.270811	41.113618
1.271691	41.113618
1.272571	41.114498
1.273451	41.114498
1.278438	41.119485
1.279905	41.119485
1.280785	41.120365
1.282545	41.120365
1.282839	41.120658
1.282839	41.121538
1.284306	41.123005
1.288999	41.123005
1.289879	41.123592
1.290759	41.123592
1.2934	41.126232
1.295746	41.126232
1.296626	41.127112
1.299267	41.127112
1.299853	41.127992
1.307481	41.127992
1.308361	41.128579
1.318335	41.128872
1.319215	41.129459
1.320095	41.129459
1.320681	41.128579
1.334176	41.128872
1.335056	41.127992
1.337403	41.127992
1.339163	41.126232
1.340043	41.126232
1.340923	41.125352
1.341803	41.125352
1.34239	41.124472
1.34415	41.124472
1.345323	41.125939
1.345323	41.126819
1.34591	41.127112
1.355004	41.127112
1.355884	41.127992
1.359991	41.127992
1.360871	41.128579
1.362338	41.128579
1.363218	41.129459
1.364978	41.129459
1.365858	41.130339
1.366738	41.130339
1.367325	41.131219
1.369085	41.131219
1.369965	41.132099
1.371725	41.132099
1.372605	41.132979
1.374072	41.132979
1.374952	41.133859
1.379059	41.133859
1.379939	41.134446
1.383166	41.134739
1.384046	41.133859
1.387566	41.133859
1.388446	41.132979
1.391673	41.132979
1.392553	41.132099
1.39578	41.132099
1.39666	41.132979
1.39842	41.132979
1.404287	41.138846
1.404874	41.138846
1.406634	41.140313
1.407514	41.140313
1.408394	41.141193
