scenario,difficulty,realization,seed,mala_step,n_events,n_background,n_triggered,true_background_ratio,estimated_background_probability,background_rmse,triggering_rmse,total_rmse,background_accuracy,background_recall,triggered_recall,parent_accuracy_triggered,true_A,estimate_A,relative_error_A,true_c,estimate_c,relative_error_c,true_p,estimate_p,relative_error_p,true_d,estimate_d,relative_error_d,true_q,estimate_q,relative_error_q,true_alpha,estimate_alpha,relative_error_alpha,true_gamma,estimate_gamma,relative_error_gamma,true_beta,estimate_beta,relative_error_beta
easy_compact_structured,1,0,1042,0.11,813,275,538,0.33825338253382536,0.295380073800738,0.5628518754181324,0.22236287627279766,0.5654272777285505,0.8031980319803198,0.5745454545454546,0.9200743494423792,0.5594795539033457,0.55,0.6104633037351834,0.10993327951851523,0.04,0.026269288974107498,-0.3432677756473126,1.55,1.38344564361332,-0.10745442347527744,0.025,0.025786517249573534,0.0314606899829413,2.25,2.119633454726164,-0.057940686788371484,0.8,0.7284434384545516,-0.08944570193181053,0.35,0.3900465113381722,0.1144186038233492,2.3,2.2814810098040126,-0.008051734867820539
medium_reference,2,0,2042,0.115,702,346,356,0.4928774928774929,0.48921937321937325,0.4326231836710186,0.22777131804991638,0.5195147654635003,0.7264957264957265,0.7427745664739884,0.7106741573033708,0.4438202247191011,0.5,0.678733073605197,0.35746614721039394,0.02,0.02515693610286071,0.25784680514303554,1.3,1.2555622022497346,-0.034182921346358044,0.05,0.050187505563831676,0.0037501112766334666,1.8,1.775963117877242,-0.013353823401532287,0.8,0.6236832087694226,-0.22039598903822177,0.5,0.5766352194110677,0.1532704388221353,2.3,2.283914400178171,-0.0069937390529691305
hard_diffuse_triggering,3,0,3042,0.095,553,523,30,0.945750452079566,0.8726943942133815,0.40186491667407404,0.5184145944999132,0.6184102686090187,0.9421338155515371,0.994263862332696,0.03333333333333333,0.0,0.35,0.23555258032038828,-0.32699262765603343,0.08,0.030162225585682812,-0.6229721801789649,1.12,1.2332800492261495,0.10114290109477626,0.16,0.08225083239656365,-0.4859322975214772,1.25,1.695187981529219,0.3561503852233752,0.35,0.5704379649393074,0.6298227569694499,0.05,0.48913601857424854,8.78272037148497,2.15,2.0854217118006324,-0.030036413115984886
hard_weak_triggering,4,0,4042,0.085,632,623,9,0.9857594936708861,0.895873417721519,0.4475760805148231,0.18405676665201726,0.36160909308553824,0.9857594936708861,1.0,0.0,0.0,0.18,0.2767470094091617,0.5374833856064539,0.1,0.03943912123633457,-0.6056087876366543,1.08,1.1016916003701458,0.020084815157542336,0.2,0.07954826161417962,-0.602258691929102,1.18,1.6973045738844912,0.43839370668177224,0.2,0.6879777483778851,2.4398887418894253,0.02,0.5159644052195723,24.798220260978614,2.0,2.026857201289428,0.013428600644713962
